Component,Strokes,LeftComponent,RightComponent
一,1,一,*
丨,1,丨,*
丶,1,丶,*
丿,1,丿,*
乀,1,乀,*
乁,1,乁,*
乙,1,乙,*
乚,1,乚,*
乛,1,乛,*
亅,1,亅,*
𠃊,1,𠃊,*
𠃌,1,𠃌,*
丆,2,一,丿
丁,2,一,亅
丂,2,丂,*
七,2,七,*
丄,2,丄,*
丅,2,丅,*
丩,2,丨,*
丷,2,丷,*
𠂇,2,丿,一
𠂉,2,丿,一
乂,2,乂,*
乃,2,乃,*
乄,2,乄,*
乜,2,乜,*
九,2,九,*
了,2,了,*
二,2,二,*
亠,2,亠,*
人,2,人,*
亻,2,人,*
儿,2,儿,*
入,2,入,*
八,2,八,*
冂,2,冂,*
冖,2,冖,*
冫,2,冫,*
几,2,几,*
凵,2,凵,*
刀,2,刀,*
刂,2,刂,*
力,2,力,*
勹,2,勹,*
匕,2,匕,*
匚,2,匚,*
匸,2,匸,*
十,2,十,*
卜,2,卜,*
卩,2,卩,*
厂,2,厂,*
厶,2,厶,*
又,2,又,*
巜,2,巜,*
讠,2,讠,*
龴,2,龴,*
㔾,2,㔾,*
𠂆,2,𠂆,*
𠂊,2,𠂊,*
刁,2,𠃌,丿
亏,3,一,丂
𠆣,3,一,人
兀,3,一,儿
干,3,一,十
下,3,一,卜
𠫔,3,一,厶
万,3,万,*
丈,3,丈,*
上,3,上,*
丌,3,丌,*
㐄,3,丨,二
丫,3,丫,*
乇,3,丿,七
乊,3,丿,丷
凢,3,丿,几
千,3,丿,十
么,3,丿,厶
卂,3,乁,十
义,3,乂,丶
及,3,乃,㇏
久,3,久,*
乆,3,乆,*
之,3,之,*
也,3,乜,丨
丸,3,九,丶
习,3,习,*
乡,3,乡,*
三,3,二,一
亍,3,二,亅
于,3,二,亅
亐,3,亐,*
亡,3,亠,乚
亼,3,人,一
个,3,人,丨
亽,3,人,丶
亇,3,人,亅
亿,3,亻,乙
巾,3,冂,丨
丬,3,冫,丨
凡,3,几,丶
凣,3,几,丶
刃,3,刀,丶
刄,3,刀,乀
劜,3,力,乚
勺,3,勹,丶
卄,3,卄,*
𠧒,3,卜,乙
卪,3,卩,丶
卫,3,卫,*
叉,3,又,丶
口,3,口,*
囗,3,囗,*
土,3,土,*
士,3,士,*
夂,3,夂,*
夊,3,夊,*
夕,3,夕,*
大,3,大,*
夨,3,夨,*
女,3,女,*
子,3,子,*
孑,3,孑,*
孒,3,孒,*
孓,3,孓,*
宀,3,宀,*
寸,3,寸,*
小,3,小,*
尢,3,尢,*
尢,3,尢,*
尸,3,尸,*
屮,3,屮,*
山,3,山,*
巛,3,巛,*
川,3,川,*
工,3,工,*
己,3,己,*
已,3,已,*
巳,3,巳,*
幺,3,幺,*
广,3,广,*
廴,3,廴,*
廾,3,廾,*
廿,3,廿,*
弋,3,弋,*
弓,3,弓,*
彐,3,彐,*
彑,3,彑,*
彡,3,彡,*
彳,3,彳,*
忄,3,忄,*
