Component,Strokes,LeftComponent,RightComponent
一,1,一,*
丨,1,丨,*
丶,1,丶,*
丿,1,丿,*
乀,1,乀,*
乁,1,乁,*
乙,1,乙,*
乚,1,乚,*
乛,1,乛,*
亅,1,亅,*
𠃊,1,𠃊,*
𠃌,1,𠃌,*
丂,2,丂,*
七,2,七,*
丄,2,丄,*
丅,2,丅,*
丩,2,丨,*
丷,2,丷,*
乂,2,乂,*
乃,2,乃,*
乄,2,乄,*
乜,2,乜,*
九,2,九,*
了,2,了,*
二,2,二,*
亠,2,亠,*
人,2,人,*
亻,2,人,*
儿,2,儿,*
入,2,入,*
八,2,八,*
冂,2,冂,*
冖,2,冖,*
冫,2,冫,*
几,2,几,*
凵,2,凵,*
刀,2,刀,*
刂,2,刂,*
力,2,力,*
勹,2,勹,*
匕,2,匕,*
匚,2,匚,*
匸,2,匸,*
十,2,十,*
卜,2,卜,*
卩,2,卩,*
厂,2,厂,*
厶,2,厶,*
又,2,又,*
巜,2,巜,*
讠,2,讠,*
龴,2,龴,*
㔾,2,㔾,*
𠂆,2,𠂆,*
𠂊,2,𠂊,*
𠂇,2,丿,一
𠂉,2,丿,一
丆,2,一,丿
刁,2,𠃌,丿
丁,2,一,亅
万,3,万,*
丈,3,丈,*
上,3,上,*
丌,3,丌,*
丫,3,丫,*
久,3,久,*
乆,3,乆,*
之,3,之,*
习,3,习,*
乡,3,乡,*
亐,3,亐,*
卄,3,卄,*
卫,3,卫,*
口,3,口,*
囗,3,囗,*
土,3,土,*
士,3,士,*
夂,3,夂,*
夊,3,夊,*
夕,3,夕,*
大,3,大,*
夨,3,夨,*
女,3,女,*
子,3,子,*
孑,3,孑,*
孒,3,孒,*
孓,3,孓,*
宀,3,宀,*
寸,3,寸,*
小,3,小,*
尢,3,尢,*
尢,3,尢,*
尸,3,尸,*
屮,3,屮,*
山,3,山,*
巛,3,巛,*
川,3,川,*
工,3,工,*
己,3,己,*
已,3,已,*
巳,3,巳,*
幺,3,幺,*
广,3,广,*
廴,3,廴,*
廾,3,廾,*
廿,3,廿,*
弋,3,弋,*
弓,3,弓,*
彐,3,彐,*
彑,3,彑,*
彡,3,彡,*
彳,3,彳,*
忄,3,忄,*
扌,3,扌,*
才,3,才,*
氵,3,氵,*
犭,3,犭,*
纟,3,纟,*
艹,3,艹,*
辶,3,辶,*
门,3,门,*
阝,3,阝,*
飞,3,飞,*
饣,3,饣,*
马,3,马,*
䒑,3,䒑,*
𠂎,3,𠂎,*
𣥂,3,𣥂,*
及,3,乃,㇏
三,3,二,一
亼,3,人,一
𠂋,3,𠂆,一
亏,3,一,丂
乇,3,丿,七
也,3,乜,丨
个,3,人,丨
巾,3,冂,丨
丬,3,冫,丨
义,3,乂,丶
丸,3,九,丶
亽,3,人,丶
凡,3,几,丶
凣,3,几,丶
刃,3,刀,丶
勺,3,勹,丶
卪,3,卩,丶
叉,3,又,丶
乊,3,丿,丷
刄,3,刀,乀
