Component,Strokes,LeftComponent,RightComponent
丛,5,人人,一
亭,9,亠口冖,丁
亮,9,亠口冖,儿
亳,10,亠口冖,乇
亴,12,亠口冖,土九
僰,14,朿朿,人
党,10,小冖,兄
劳,7,艹冖,力
労,7,小冖,力
勞,12,炏冖,力
受,8,爫冖,又
叠,13,叒冖,且
咒,8,口口,几
咢,9,口口,亏
哭,10,口口,犬
喌,12,口口,州
單,12,口口,甲一
営,12,小冖,呂
喾,12,小冖,告
嘂,14,吕,丩吕
噐,15,吕,工吕
器,15,吕,大吕
嚚,18,吕,臣吕
嚳,20,𦥯冖,告
嚴,20,口口,𠪚
嚻,21,吕,頁吕
囂,21,吕,頁吕
坐,7,人人,土
坣,8,小冖,土
埜,11,木木,土
堃,11,方方,土
塋,13,炏冖,土
壆,16,𦥯冖,土
壨,23,畕畕,土
壱,7,士冖,匕
売,7,士冖,儿
壳,7,士冖,几
壶,10,士冖,业
壸,11,士冖,亚
壹,12,土冖,豆
壺,12,土冖,亞*
壼,13,士冖,亞
夢,11,苜*冖,夕
夣,14,冖,夕
奭,15,百,大百
婪,11,木木,女
婴,11,贝贝,女
嫈,13,炏冖,女
嫐,13,女,男女
嬰,17,貝貝,女
嬲,17,男,女男
孛,7,十冖,子
学,8,小冖,子
學,16,𦥯冖,子
尝,9,小冖,云
峃,8,小冖,山
嵤,13,炏冖,山
嶨,16,𦥯冖,山
巺,9,巳巳,兀?
巽,12,己己,共
帚,8,彐冖,巾
帝,9,六冖,巾
带,9,卅冖,巾
帯,9,丗冖,巾
帶,11,卌冖,巾
常,11,小冖,吊
弻,12,弓,㐁弓
弼,12,弓,百弓
彗,11,丰丰,彐
彙,14,彑冖,果
彚,14,彐冖,果
怂,8,人人,心
愛,13,爫冖,𢖻
愳,14,目目,心
憂,15,百冖,𢖻
戞,12,百冖,戈
掰,12,手,分手
搿,12,扌,合扌
斑,12,王,文王
斚,10,厸冖,斗
斝,12,吅冖,斗
旁,10,六冖,方
晕,10,日冖,车
暈,13,日冖,車
暜,14,立立,日
曡,19,晶冖,且
替,12,夫夫,曰
朁,12,旡旡,曰
栄,9,小冖,木
栞,10,干干,木
梦,11,木木,夕
梵,11,木木,凡
梺,11,木木,下
棠,12,小冖,呆
棥,12,木,爻木
棼,12,木木,分
棽,12,木木,今
棾,12,林冖,几
椕,12,木,分木
椘,11,木木,之
楙,13,木,矛木
楚,13,木木,疋
榃,13,木木,田
榮,14,炏冖,木
槖,14,士冖,䂞
樷,16,木木,取
檒,17,木木,風
檾,18,炏冖,林
欁,21,木,農木
欎,23,棥冖,𡬠
毫,11,亠口冖,毛
泶,9,小冖,水
滎,14,炏冖,水
澩,17,𦥯冖,水
烎,10,干干,火
焚,12,木木,火
焭,12,炏冖,几
焸,12,日日,火
煛,14,目目,火
煢,13,炏冖,卂
熒,14,炏冖,火
營,17,炏冖,呂
燢,17,𦥯冖,火
燹,18,豕豕,火
爂,18,臼日冖,火
爨,30,臼同冖,𤍾
爱,10,爫冖,友
牵,9,大冖,牛
犖,14,炏冖,牛
珡,10,王王,人
班,10,王,刂王
琴,12,王王,今
琵,12,王王,比
琶,12,王王,巴
琹,12,王王,木
瑟,13,王王,必
瑩,15,炏冖,玉
璺,20,臼同冖,玉
瓣,19,辛,瓜辛
甆,14,玄玄,瓦
甇,15,炏冖,瓦
甍,15,苜*冖,瓦
甖,19,貝貝,瓦
甧,14,生生,月
畳,12,田冖,且
疂,16,界?冖,且
疈,20,畐,刂畐
疊,22,畾冖,且
疐,14,十冖,田疋
睿,14,卜冖,眘
瞢,15,苜*冖,目
瞾,18,目目,空
瞿,18,目目,隹
矍,20,目目,隻
礐,18,𦥯冖,石
禁,13,木木,示
禜,15,炏冖,示
稁,12,亠口冖,禾
粥,12,弓,米弓
索,10,十冖,糸
縈,16,炏冖,糸
罂,14,贝贝,缶
罃,16,炏冖,缶
罌,20,貝貝,缶
翚,12,羽冖,车
翬,15,羽冖,車
耸,10,人人,耳
肻,8,卜冖,月
膋,14,炏冖,月
臺,14,吉冖,至
舋,19,臼同冖,且
舜,12,爫冖,舛
舝,13,?冖,𠫚
茔,8,艹冖,土
茕,8,艹冖,卂
荣,9,艹冖,木
荤,9,艹冖,车
荥,9,艹冖,水
荦,9,艹冖,牛
荧,9,艹冖,火
莹,10,艹冖,玉
莺,10,艹冖,鸟
萤,11,艹冖,虫
营,11,艹冖,吕
萦,11,艹冖,糸
葷,12,艹冖,車
蒏,12,艹冖,酉
蒬,13,艹冖,兔
蓥,13,艹冖,金
薎,16,苜*冖,伐
薨,16,苜*冖,死
蘉,19,苜*冖,侵
蛍,11,小冖,虫
蝅,14,天天,虫
螢,16,炏冖,虫
蠺,24,天天,日虫虫
衍,9,彳,氵彳
衎,9,彳,干彳
衏,10,彳,元彳
衐,11,彳,巨彳
衑,11,彳,令彳
衒,11,彳,玄彳
術,11,彳,朮彳
衔,11,彳,钅彳
衕,12,彳,同彳
衖,12,彳,共彳
街,12,彳,圭彳
衘,14,彳,𦈢彳
衙,13,彳,吾彳
衚,15,彳,胡彳
衛,15,彳,韋彳
衜,15,彳,首彳
衝,15,彳,重彳
衞,16,彳,帀彳
衟,16,彳,𩠐彳
衠,16,彳,真彳
衡,16,彳,彳
衢,24,彳,瞿彳
褮,16,炏冖,衣
覚,12,小冖,見
覮,17,炏冖,見
覺,20,𦥯冖,見
觉,9,小冖,见
觷,20,𦥯冖,角
謍,17,炏冖,言
譱,20,言,羊言
譻,21,貝貝,言
讎,23,隹,言隹
讟,29,言,賣言
豪,14,亠口冖,豕
賛,15,夫夫,貝
質,15,斤斤,貝
賫,15,夾冖,貝
賷,17,冖,貝
贊,19,先先,貝
贙,23,虎虎,貝
赍,12,夾冖,贝
輦,15,夫夫,車
辇,12,夫夫,车
辦,16,辡,力辡
